Ticker,Market Cap,PE Ratio,Forward P/E,P/S Ratio,P/B Ratio,Dividend Yield (%),Current Ratio,Debt/Equity,Revenue Growth 4Y (%),EPS Growth 4Y (%),Forward EPS Growth (%),EPS,PEG Ratio,ROE (%),ROA (%),ROIC (%),Profit Margin (%),Gross Margin (%),Free Cash Flow Yield (%),EV/EBITDA,Recent 52-Week High,Sector
OCG.V,60952708.0,N/A,N/A,N/A,3.6842103,N/A,7.412,0.00034,N/A,11.0860295,N/A,-0.04,N/A,-69.695,-67.26878157,-70.96597193,N/A,N/A,N/A,-7.208,False,Basic Materials
CUSN.V,58879812.0,N/A,N/A,N/A,0.6666666,N/A,5.983,N/A,N/A,51.92876118,N/A,N/A,N/A,N/A,-5.274599953,-6.090571171,N/A,N/A,-74.52569157,N/A,False,Basic Materials
GMG.V,55871284.0,N/A,-4.2857146,442.0931,7.5000005,N/A,0.992,0.224,11.32080269,-40.16766589,N/A,-0.08,N/A,-92.713,-55.98481194,-73.63030554,N/A,-36.91,N/A,-5.697,False,Basic Materials
WVM.V,57959800.0,N/A,N/A,N/A,1.4084507,N/A,23.717,N/A,N/A,11.98882632,N/A,-0.03,N/A,-5.077,-3.520785556,-4.497479488,N/A,N/A,-2.155755128,N/A,False,Basic Materials
EVNI.V,57516128.0,N/A,N/A,N/A,7.794117,N/A,26.737,N/A,N/A,N/A,N/A,-0.05,N/A,N/A,-78.25044508,-212.2926129,N/A,N/A,N/A,N/A,False,Basic Materials
RVG.V,32816400.0,N/A,-29.0,N/A,3.7179484,N/A,0.9,N/A,N/A,-4.264788544,N/A,-0.1,N/A,-104.144,-90.86949726,-93.78583546,N/A,N/A,N/A,-3.397,False,Basic Materials
MGRO.V,56804660.0,N/A,N/A,12.054807,15.068494,N/A,4.866,0.13826,N/A,42.26497308,N/A,N/A,N/A,-12.2250006,-7.561205052,-8.802598028,-8.997,94.878995,N/A,N/A,False,Basic Materials
NIM.V,57505288.0,N/A,N/A,N/A,12.777778,N/A,3.605,0.99428,N/A,N/A,N/A,-0.03,N/A,-92.911005,-21.5438075,-50.27527467,N/A,N/A,2.173473042,-8.983,False,Basic Materials
PLSR.V,56173396.0,N/A,N/A,N/A,N/A,N/A,2.303,N/A,N/A,N/A,N/A,-0.29,N/A,N/A,-1547.687355,483.3562857,N/A,N/A,-13.30421847,N/A,False,Basic Materials
MMY.V,55746736.0,N/A,5.666667,1.5486925,0.4857143,N/A,3.474,0.00166,-19.82158614,-119.4091829,N/A,-0.01,N/A,-1.513,-1.314982293,-1.527074542,-4.853,42.894,-4.689596592,3.608,False,Basic Materials
OM.V,56446500.0,N/A,-3.142857,N/A,0.5670103,N/A,0.152,0.36036,N/A,N/A,N/A,-0.03,N/A,-5.1220004,-4.193026855,-3.849729471,N/A,N/A,-9.269131088,-210.851,False,Basic Materials
IPT.V,55671520.0,N/A,11.25,2.3970883,0.74503314,N/A,2.234,0.00267,7.445579376,N/A,N/A,-0.04,N/A,-16.051,-13.57460304,-16.29493414,-52.331,-17.097001,-34.45578692,-6.104,False,Basic Materials
TSG.V,53186320.0,N/A,N/A,N/A,1.9387755,N/A,9.566,N/A,N/A,-45.53257411,N/A,-0.02,N/A,-7.758,-7.322724721,-7.423810764,N/A,N/A,-0.183776338,-41.994,False,Basic Materials
PML.V,52875004.0,N/A,2.5,N/A,1.4084507,N/A,0.043,0.00351,N/A,-32.77108064,N/A,-0.01,N/A,-4.536,-3.264631024,-4.56227911,N/A,N/A,0.22803396,-24.465,True,Basic Materials
WEX.V,53471380.0,N/A,N/A,N/A,4.6743293,N/A,83.159,N/A,N/A,12.35359349,N/A,-0.16,N/A,-37.625,-34.17594338,-41.59017997,N/A,N/A,N/A,-11.737,False,Basic Materials
NILI.V,52647680.0,N/A,-8.0,N/A,3.4042554,N/A,9.771,N/A,N/A,-15.01633169,N/A,-0.06,N/A,-67.109,-65.47417158,-63.96280098,N/A,N/A,N/A,N/A,False,Basic Materials
ARU.V,49239840.0,N/A,-5.1,N/A,N/A,N/A,0.903,N/A,N/A,23.58833805,N/A,-0.13,N/A,N/A,-430.7893383,1158.817593,N/A,N/A,-7.847597696,-7.767,True,Basic Materials
ELBM.V,49217800.0,N/A,-4.7777777,N/A,0.7026144,N/A,0.108,0.79368,N/A,-69.62077533,N/A,-1.57,N/A,-78.266,-41.84464174,-50.88351353,N/A,N/A,-26.65461709,N/A,False,Basic Materials
SCOT.V,49470300.0,N/A,N/A,N/A,4.02439,N/A,27.562,N/A,N/A,-18.9207115,N/A,-0.06,N/A,-96.945,-89.87426626,-177.5206999,N/A,N/A,-24.89018293,-3.536,False,Basic Materials
LRA.V,49952412.0,N/A,N/A,N/A,7.898551,N/A,18.495,N/A,N/A,-36.77823999,N/A,-0.02,N/A,-10.805,-10.55880636,-11.80597664,N/A,N/A,-3.23383309,-19.528,False,Basic Materials
SOMA.V,46978752.0,N/A,N/A,0.55795026,4.1463413,N/A,1.05,2.87084,36.98407205,-33.1259695,N/A,-0.03,N/A,-20.357001,-3.713593537,-5.66852039,-3.154,25.676,0.273291571,2.76,False,Basic Materials
MMA.V,47187164.0,N/A,N/A,N/A,2.355372,N/A,38.15,0.0157,N/A,0.0,N/A,-0.01,N/A,-12.1549994,-11.90988607,-16.29055066,N/A,N/A,N/A,-28.746,False,Basic Materials
WGO.V,46731156.0,N/A,-13.25,N/A,0.39317504,N/A,2.547,N/A,N/A,33.1259695,N/A,-0.01,N/A,-1.575,-1.401012633,-1.566099869,N/A,N/A,-13.79008725,-24.608,False,Basic Materials
AGX.V,46082572.0,N/A,5.75,2.6394138,2.0535715,N/A,0.482,0.05866,N/A,N/A,N/A,-0.11,N/A,-38.932,-20.25788415,-40.87008623,-67.127,12.918,-5.663400383,-32.325,False,Basic Materials
WAM.V,61699068.0,N/A,-7.8888884,N/A,1.375969,N/A,2.47,0.07381,N/A,-146.6086847,N/A,-0.14,N/A,-11.048,-9.845687773,-10.49663321,N/A,N/A,-6.596301393,-13.339,False,Basic Materials
BSR.V,45647704.0,N/A,-7.5000005,N/A,1.9354839,N/A,0.053,0.63512,N/A,33.1259695,N/A,-0.07,N/A,-28.226,-13.84284907,-19.30035359,N/A,N/A,-12.43464392,-9.131,False,Basic Materials
EMPR.V,46248148.0,N/A,N/A,11.637082,2.9770992,N/A,0.29,0.4106,N/A,N/A,N/A,-0.04,N/A,-17.874001,-13.68849073,-15.20784985,-72.761,82.424,-8.137713281,143.271,True,Basic Materials
PWM.V,45187580.0,N/A,N/A,N/A,4.6212125,N/A,1.838,N/A,N/A,-18.9207115,N/A,-0.02,N/A,-25.190002,-18.8231094,-25.69447153,N/A,N/A,-6.90928455,-11.334,False,Basic Materials
APGO.V,44529888.0,N/A,N/A,N/A,19.615383,N/A,7.239,0.07013,N/A,-56.50845801,N/A,-0.04,N/A,-5.748,N/A,-6.07608191,N/A,N/A,-13.65384512,-15.822,True,Basic Materials
SSVR.V,45617580.0,N/A,N/A,N/A,1.0211267,N/A,14.404,N/A,N/A,15.91035847,N/A,-0.02,N/A,-6.398,-6.305687853,-6.113730261,N/A,N/A,-18.79988914,N/A,False,Basic Materials
EAM.V,44165200.0,N/A,N/A,N/A,3.2539682,N/A,0.816,0.04032,N/A,-18.9207115,N/A,-0.02,N/A,-17.547001,-13.00219851,-21.34719727,N/A,N/A,-2.62305967,N/A,False,Basic Materials
PHNM.V,44001720.0,N/A,N/A,N/A,2.2580645,N/A,1.087,N/A,N/A,0.0,N/A,-0.01,N/A,-6.1529998,-6.072667706,-5.973929428,N/A,N/A,N/A,-93.84,False,Basic Materials
GSP.V,42726060.0,N/A,N/A,N/A,3.5185184,N/A,0.028,0.48714,N/A,-39.82684712,N/A,N/A,N/A,-33.178002,-19.03810378,-24.31799495,N/A,N/A,-2.466158736,-23.366,False,Basic Materials
AZM.V,41944000.0,24.500002,N/A,132.72325,0.81666666,N/A,3.727,0.00127,-6.167921615,-41.9783408,N/A,0.02,N/A,2.0669999,1.882413169,2.03887897,311.801,100.0,-29.16513497,-11.808,False,Basic Materials
EQTY.V,40601888.0,N/A,N/A,N/A,13.823528,N/A,3.988,N/A,N/A,15.91035847,N/A,-0.03,N/A,-141.52901,-111.2811027,-129.5854556,N/A,N/A,-7.863231487,-10.352,False,Basic Materials
