Ticker,PE Ratio_highlight,Forward P/E_highlight,P/S Ratio_highlight,P/B Ratio_highlight,Dividend Yield (%)_highlight,Current Ratio_highlight,Debt/Equity_highlight,Revenue Growth 4Y (%)_highlight,EPS Growth 4Y (%)_highlight,Forward EPS Growth (%)_highlight,EPS_highlight,PEG Ratio_highlight,ROE (%)_highlight,ROA (%)_highlight,ROIC (%)_highlight,Profit Margin (%)_highlight,Gross Margin (%)_highlight,FCF Yield (%)_highlight,FCF/EV_highlight,EV/EBITDA_highlight
HBM.TO,above,within,within,within,below,within,above,above,within,within,above,below,above,above,above,above,above,above,above,within
DOO.TO,within,within,below,above,below,within,above,above,above,below,above,within,above,above,above,within,within,above,above,below
ATZ.TO,above,within,above,above,within,within,within,above,above,within,within,above,above,above,above,above,within,within,within,above
ELD.TO,within,within,above,below,within,above,within,below,below,above,above,below,above,above,above,above,above,above,above,within
TFPM.TO,within,above,above,above,below,above,below,above,below,within,below,above,above,above,above,below,above,within,within,above
BYD.TO,above,above,above,above,below,below,above,above,above,below,above,within,within,within,within,within,within,within,above,above
CHP-UN.TO,below,below,above,within,within,below,above,below,above,below,above,within,above,above,above,above,within,within,within,within
IMG.TO,within,below,above,within,within,below,within,below,above,below,above,below,above,above,above,above,within,within,within,above
GRT-UN.TO,within,below,above,within,within,below,below,above,below,above,above,within,within,above,above,above,above,above,above,within
SJ.TO,within,within,below,within,below,above,above,within,above,above,above,above,above,above,above,above,within,above,within,within
ELF.TO,below,above,below,below,below,within,within,within,above,above,above,within,above,above,above,above,within,within,within,below
KXS.TO,above,above,above,above,within,within,below,above,below,within,above,below,above,above,above,above,within,within,within,above
FIL.TO,within,within,within,above,within,within,within,within,below,within,below,within,below,below,below,within,within,above,above,within
CSH-UN.TO,within,above,within,above,within,below,above,below,above,within,below,within,below,above,above,above,below,below,below,above
TA.TO,below,above,below,above,below,within,above,above,within,below,within,below,above,above,above,above,within,above,above,below
EQB.TO,within,within,within,within,below,within,within,above,within,within,above,below,within,below,below,above,within,within,within,within
PBH.TO,above,within,below,within,above,within,above,above,below,above,above,below,within,below,below,below,below,below,below,above
TPZ.TO,above,above,above,above,within,above,within,above,above,above,below,above,below,within,below,above,above,below,within,within
ATS.TO,within,within,within,within,within,within,within,above,above,below,within,above,within,within,within,within,within,below,below,within
BHC.TO,within,below,below,within,within,below,within,below,below,below,below,below,below,above,above,above,within,above,above,within
GEI.TO,above,above,below,above,within,within,above,within,within,above,within,within,above,within,within,below,below,above,within,above
POU.TO,within,within,within,within,within,below,below,above,within,above,above,below,within,above,above,above,within,below,below,within
MX.TO,within,within,below,within,within,below,above,within,within,below,above,within,above,above,above,above,below,above,above,above
BEI-UN.TO,below,within,above,below,below,below,below,below,within,below,above,below,above,above,above,above,within,below,below,within
FCR-UN.TO,within,below,within,within,within,within,within,below,within,within,below,below,below,below,below,below,within,below,below,within
LNR.TO,below,below,below,below,below,within,below,above,above,above,above,below,above,above,above,above,below,below,below,below
CURA.TO,within,within,below,above,within,below,above,above,below,within,above,within,above,above,above,above,within,above,above,above
CEE.TO,above,within,above,within,within,above,below,below,below,within,above,above,above,within,above,above,within,within,within,within
BLX.TO,above,above,above,within,below,within,above,above,within,below,below,below,within,below,below,within,above,above,above,within
PRU.TO,below,within,above,within,within,above,below,within,above,above,above,within,above,within,above,above,above,within,within,below
STLC.TO,within,above,below,within,above,within,above,above,within,below,above,within,above,above,above,above,below,above,above,within
EQX.TO,below,below,within,below,within,below,above,within,below,above,above,within,above,above,above,above,within,within,within,above
TOY.TO,above,within,above,within,below,within,below,below,above,within,below,within,within,within,within,within,above,within,above,above
BTE.TO,within,within,below,below,below,below,within,above,above,below,below,below,below,below,below,below,above,above,above,below
SES.TO,below,within,below,within,above,below,within,above,within,above,above,below,above,above,above,within,below,above,above,below
AG.TO,within,above,above,within,below,within,within,above,within,within,below,within,above,above,above,below,within,above,above,within
NGD.TO,within,within,above,above,within,below,above,below,above,within,within,below,above,above,above,below,above,above,above,within
CIX.TO,within,below,below,above,within,below,above,above,below,above,below,below,below,below,below,below,within,above,above,within
WPK.TO,within,within,above,within,below,above,below,within,within,above,above,above,above,above,above,above,within,below,within,within
PEY.TO,within,within,above,within,above,within,within,within,within,below,above,within,within,within,within,above,above,above,above,within
LSPD.TO,within,within,within,below,within,above,below,above,below,within,below,within,below,below,below,below,within,below,below,within
OGC.TO,above,below,within,within,below,below,below,above,within,below,above,within,above,above,above,below,above,above,above,within
CCA.TO,below,below,within,below,within,below,above,within,above,below,above,within,above,above,above,above,within,above,within,below
GMIN.TO,within,within,within,above,within,below,above,within,within,within,below,within,above,above,above,within,within,within,within,within
GSY.TO,within,within,within,above,within,above,above,above,above,above,above,below,above,above,within,above,above,below,below,within
ATH.TO,above,within,within,within,within,above,below,above,above,above,below,within,below,within,within,below,within,above,above,within
CIA.TO,below,below,below,within,above,within,above,below,below,above,above,below,above,above,above,above,above,above,above,below
CRR-UN.TO,within,within,within,within,within,below,within,below,within,above,below,within,above,above,above,above,within,above,above,within
ERO.TO,within,below,above,above,within,below,above,within,above,within,below,below,above,above,above,below,within,within,within,above
HR-UN.TO,within,below,below,below,within,below,below,below,within,within,below,within,below,below,below,below,within,above,above,within
FIH-U.TO,below,within,above,below,within,above,below,within,within,above,within,within,within,above,above,above,above,within,within,within
DML.TO,above,within,above,above,within,above,within,below,within,within,below,within,within,above,above,above,below,below,below,within
EIF.TO,within,within,below,within,above,within,above,above,above,below,above,within,within,within,within,within,within,below,below,within
AP-UN.TO,within,below,within,below,above,below,below,below,within,below,below,within,below,below,below,below,within,above,within,within
CGG.TO,within,below,above,within,within,below,above,below,within,within,below,within,above,above,above,below,below,above,above,above
MFI.TO,above,within,below,within,above,within,above,below,within,within,below,above,below,below,below,below,below,within,within,within
SSL.TO,above,above,above,within,below,within,within,above,above,above,above,above,above,above,above,above,above,above,above,above
TXG.TO,within,below,within,within,within,below,below,below,above,below,above,below,above,above,above,above,above,within,within,below
MDA.TO,above,within,above,within,within,below,within,within,within,above,below,within,below,below,below,within,within,below,below,above
MAG.TO,above,above,within,above,within,above,below,within,within,above,above,below,above,above,above,within,within,above,above,within
DPM.TO,below,below,above,within,within,above,below,below,below,above,above,below,above,above,above,above,above,above,above,below
AIF.TO,above,within,within,above,below,within,below,within,below,below,below,within,below,below,below,below,below,within,above,above
AYA.TO,above,above,above,above,within,within,above,above,within,within,above,within,above,above,above,above,within,above,above,above
FN.TO,within,within,within,above,above,above,above,above,within,below,above,below,above,below,below,above,within,below,below,within
BBUC.TO,within,within,below,above,below,below,above,below,within,above,below,within,below,above,within,below,below,below,below,within
NWC.TO,within,within,within,above,within,within,within,below,below,below,above,below,above,above,above,within,within,within,within,within
SEA.TO,above,within,within,within,within,within,above,within,below,above,above,within,above,above,above,within,within,within,within,within
NVA.TO,below,within,within,within,within,below,below,above,within,above,above,within,above,above,above,above,within,within,within,within
KMP-UN.TO,below,below,above,within,within,below,below,within,within,within,above,within,above,above,above,above,within,below,below,within
NGEX.TO,within,within,within,above,within,above,within,within,below,within,below,within,below,below,below,within,within,above,above,within
GLXY.TO,below,within,within,above,within,within,within,within,above,within,above,within,above,above,above,within,within,within,above,within
RUS.TO,below,below,below,below,above,above,below,above,above,below,above,within,above,above,above,within,within,above,above,below
OLA.TO,within,within,above,above,within,above,within,within,above,above,below,within,above,above,above,below,above,above,above,above
SIL.TO,within,within,above,above,within,above,below,within,within,below,above,within,above,above,above,above,above,above,above,within
FVI.TO,within,below,within,within,within,below,below,above,within,above,within,within,above,above,above,below,within,above,above,below
KNT.TO,above,within,above,above,within,within,below,within,below,below,above,within,above,above,above,above,above,above,above,above
CXB.TO,within,below,above,within,within,within,above,above,below,below,above,within,above,above,above,above,above,above,above,within
VET.TO,within,within,within,below,below,within,within,within,above,within,below,within,below,below,below,below,within,above,above,below
CJT.TO,within,above,above,within,within,below,above,within,within,within,below,within,below,below,below,below,below,within,below,within
TVE.TO,above,below,within,within,within,below,within,above,within,above,below,within,below,below,below,within,above,above,within,within
RCH.TO,within,above,within,within,below,above,below,within,within,below,above,within,above,above,above,above,below,above,above,within
